Species,Growth_Time_hr,Growth_Rate,Temperature_Â°C,pH_Level
Fungi,24,3.45,37,6.17
Protozoa,12,1.56,40,5.81
Bacteria,24,2.17,35,7.49
Fungi,48,2.47,25,6.07
Fungi,48,2.82,37,5.84
Protozoa,24,4.14,30,6.63
Bacteria,24,1.8,37,5.42
Bacteria,24,3.06,30,7.41
Fungi,48,3.37,30,5.22
Virus,48,1.19,37,7.96
Fungi,12,3.43,40,7.32
Fungi,12,1.68,30,5.6
Fungi,48,1.26,30,5.02
Fungi,24,4.8,37,7.45
Protozoa,24,4.86,30,7.12
Bacteria,12,4.23,30,7.19
Protozoa,48,2.22,37,7.31
Protozoa,12,1.39,37,5.22
Protozoa,12,3.74,25,6.08
Fungi,36,2.76,40,5.35
